barrio_1,ambientes,m2total,db_lo_num,preciousd,precio_x_m2,latitud,longitud
CABALLITO,3.0,88.0,75.0,249900.0,2839.7727272727275,-34.620895,-58.455466
CABALLITO,3.0,65.0,75.0,148900.0,2290.769230769231,-34.616347,-58.443124
CABALLITO,2.0,53.0,75.0,150000.0,2830.188679245283,-34.617449,-58.446102
CABALLITO,2.0,34.0,75.0,90000.0,2647.0588235294117,-34.607784,-58.444874
CABALLITO,1.0,34.0,75.0,105000.0,3088.235294117647,-34.611013,-58.442996
CABALLITO,3.0,61.0,70.0,198000.0,3245.901639344262,-34.614556,-58.440871
CABALLITO,2.0,40.0,70.0,110000.0,2750.0,-34.611998,-58.442272
CABALLITO,4.0,76.0,70.0,245000.0,3223.684210526316,-34.609664,-58.444146
CABALLITO,2.0,40.0,70.0,115000.0,2875.0,-34.620928,-58.445874
CABALLITO,0.0,120.0,70.0,378000.0,3150.0,-34.620928,-58.445874
CABALLITO,5.0,193.0,70.0,700000.0,3626.943005181347,-34.626936,-58.443519
CABALLITO,2.0,39.0,70.0,112000.0,2871.7948717948716,-34.627769,-58.448856
CABALLITO,4.0,176.0,70.0,550000.0,3125.0,-34.627782,-58.448332
CABALLITO,5.0,163.0,70.0,565000.0,3466.2576687116566,-34.626976,-58.444401
CABALLITO,4.0,72.0,70.0,230000.0,3194.4444444444443,-34.62746,-58.446956
CABALLITO,3.0,57.0,80.0,165000.0,2894.7368421052633,-34.621831,-58.44405
CABALLITO,2.0,37.0,80.0,87000.0,2351.3513513513512,-34.623049,-58.447202
CABALLITO,3.0,57.0,80.0,163000.0,2859.6491228070176,-34.621831,-58.44405
CABALLITO,0.0,53.0,70.0,139000.0,2622.6415094339623,-34.620928,-58.445874
CABALLITO,0.0,53.0,70.0,139000.0,2622.6415094339623,-34.620928,-58.445874
CABALLITO,3.0,47.0,75.0,97000.0,2063.8297872340427,-34.605769,-58.45405
CABALLITO,3.0,94.0,70.0,169000.0,1797.872340425532,-34.617732,-58.438511
CABALLITO,2.0,38.0,75.0,98500.0,2592.1052631578946,-34.617701,-58.447172
